mammal,5,3631932,
anthro,0,3595558,
hi_res,7,3337755,
female,0,2720857,
male,0,2697552,
solo,0,2496607,
genitals,0,2423527,
clothing,0,2229890,
hair,0,1896352,
breasts,0,1865756,
fur,0,1864228,
duo,0,1712618,
penis,0,1668928,
bodily_fluids,0,1551723,
tail,0,1523466,
canid,5,1408062,
digital_media_(artwork),7,1405005,
nipples,0,1363666,
canine,5,1362735,
simple_background,0,1336748,
nude,0,1335465,
text,0,1294182,
clothed,0,1235330,
absurd_res,7,1146083,
balls,0,1142593,
smile,0,1116656,
butt,0,1106020,
genital_fluids,0,1104774,
sex,0,1103123,
blush,0,1068025,
open_mouth,0,1009974,
looking_at_viewer,0,986667,
pussy,0,955088,
erection,0,944923,
tongue,0,914092,
english_text,7,909544,
big_breasts,0,906253,
penetration,0,903163,
teeth,0,775066,
white_body,0,754526,
canis,5,749430,
felid,5,746010,
cum,0,738274,
nintendo,3,737555,
male/female,0,717886,
mythology,3,714335,
horn,0,713484,
scalie,5,682808,
mythological_creature,5,679864,
penile,0,672733,
feet,0,668500,
feral,0,654947,
tongue_out,0,603192,
topwear,0,592737,
anus,0,588585,
claws,0,581602,
white_fur,0,573791,
dialogue,0,561165,
fingers,0,554850,
male_penetrating,0,550882,
pokemon,3,550181,
male/male,0,546916,
blue_eyes,0,546912,
pokemon_(species),5,546423,
humanoid_genitalia,0,539422,
thick_thighs,0,532627,
animal_genitalia,0,519278,
biped,0,516391,
humanoid_penis,0,495558,
muscular,0,491673,
tuft,0,491247,
group,0,490719,
navel,0,488448,
feline,5,481883,
humanoid,5,479523,
standing,0,477381,
toes,0,457531,
areola,0,456588,
anal,0,448617,
bottomwear,0,445862,
piercing,0,442363,
brown_body,0,439594,
markings,0,435538,
wings,0,435261,
equid,5,433173,
cum_inside,0,429070,
lying,0,428720,
vaginal,0,424918,
monochrome,7,422241,
equine,5,414509,
big_butt,0,405874,
1:1,7,402178,
fox,5,401414,
human,5,398370,
underwear,0,388787,
spreading,0,385844,
mythological_scalie,5,384087,
dragon,5,382945,
big_penis,0,382707,
black_body,0,378154,
size_difference,0,377209,
domestic_dog,5,376700,
heart_symbol,0,375360,
blue_body,0,372461,
eyes_closed,0,372182,
anal_penetration,0,369876,
animal_penis,0,361000,
multicolored_body,0,356513,
huge_breasts,0,355916,
shirt,0,355365,
white_background,0,354330,
brown_fur,0,353507,
plant,0,349225,
penile_penetration,0,349111,
wolf,5,348283,
sweat,0,347814,
green_eyes,0,346782,
furniture,0,345465,
hasbro,3,344004,
wide_hips,0,342675,
sitting,0,340959,
grey_body,0,338479,
narrowed_eyes,0,338427,
muscular_male,0,337876,
female_penetrated,0,337483,
ambiguous_gender,0,337404,
comic,7,332191,
interspecies,0,331407,
my_little_pony,3,329249,
legwear,0,328333,
eyewear,0,327698,
vaginal_penetration,0,325475,
spread_legs,0,322535,
long_hair,0,320445,
felis,5,320055,
headgear,0,317683,
oral,0,316253,
outside,0,314544,
looking_back,0,313876,
domestic_cat,5,313144,
5_fingers,0,303702,
male_penetrating_female,0,298923,
paws,0,296514,
lagomorph,5,294813,
eyelashes,0,294043,
belly,0,289369,
fangs,0,287843,
footwear,0,287684,
black_nose,0,281156,
ear_piercing,0,279282,
collar,0,279255,
red_eyes,0,275101,
pawpads,0,274713,
eyebrows,0,274376,
presenting,0,269532,
reptile,5,268816,
speech_bubble,0,266117,
intersex,0,265666,
signature,7,264271,
jewelry,0,263942,
black_fur,0,261078,
leporid,5,260693,
friendship_is_magic,3,258474,
on_back,0,255475,
young,0,254178,
rabbit,5,253749,
anthro_on_anthro,0,250124,
multicolored_fur,0,247519,
grey_fur,0,246346,
yellow_body,0,246340,
headwear,0,244211,
looking_pleasured,0,242939,
muscular_anthro,0,242858,
male_penetrated,0,241504,
overweight,0,241051,
saliva,0,238039,
ejaculation,0,237525,
brown_hair,0,234934,
black_hair,0,234816,
glasses,0,233370,
big_balls,0,231614,
knot,0,231033,
feathers,0,230856,
solo_focus,0,228430,
abs,0,227597,
vein,0,225389,
blonde_hair,0,225339,
hat,0,224061,
2023,7,223457,
2022,7,221483,
anthro_penetrated,0,221148,
handwear,0,220464,
pecs,0,218723,
pantherine,5,217448,
detailed_background,0,217348,
yellow_eyes,0,217137,
mythological_equine,5,215933,
orange_body,0,214906,
shoes,0,214871,
tan_body,0,213231,
horse,5,211856,
vaginal_fluids,0,211699,
gloves,0,210336,
gynomorph,0,208339,
male_penetrating_male,0,207735,
orgasm,0,207421,
digital_drawing_(artwork),7,207127,
bovid,5,206774,
portrait,7,205779,
avian,5,205221,
2024,7,204637,
two_tone_body,0,202277,
shaded,7,202268,
holding_object,0,200846,
inside,0,198876,
bed,0,198376,
half-closed_eyes,0,194941,
blue_fur,0,194767,
2021,7,194505,
pants,0,193318,
precum,0,192894,
3d_(artwork),7,192745,
hyper,0,191644,
white_hair,0,188143,
stripes,0,187083,
rear_view,0,186897,
2020,7,186355,
canine_genitalia,0,186135,
penis_in_pussy,0,183912,
widescreen,7,182236,
bound,0,178664,
hybrid,5,175900,
toe_claws,0,175580,
countershading,0,175504,
foreskin,0,175498,
anthro_penetrating,0,173909,
scales,0,172348,
blue_hair,0,172112,
fluffy,0,172064,
from_behind_position,0,170662,
barefoot,0,170364,
red_body,0,170143,
purple_body,0,169478,
looking_at_another,0,169235,
masturbation,0,169139,
4_toes,0,169077,
huge_penis,0,168822,
not_furry,0,168739,
green_body,0,168302,
fellatio,0,167772,
animated,7,167694,
2019,7,167525,
bottomless,0,167365,
panties,0,166393,
food,0,165990,
bulge,0,165608,
equine_genitalia,0,164667,
veiny_penis,0,164211,
cum_in_pussy,0,163998,
canine_penis,0,163907,
16:9,7,163348,
dominant,0,163236,
seductive,0,162231,
femboy,0,161708,
ring_piercing,0,161645,
orange_fur,0,161178,
young_anthro,0,160978,
rodent,5,160600,
purple_eyes,0,160143,
slightly_chubby,0,160114,
animal_humanoid,5,159600,
sketch,7,157946,
yellow_fur,0,156984,
anthrofied,0,156818,
generation_1_pokemon,5,156201,
pose,0,156017,
licking,0,155023,
accessory,0,154892,
tree,0,154713,
raised_tail,0,154094,
front_view,0,153947,
bdsm,0,152319,
marine,5,151304,
kneeling,0,150578,
bird,5,150540,
tan_fur,0,150121,
cleavage,0,148215,
cum_in_ass,0,147494,
2018,7,147456,
fan_character,4,147118,
anthro_penetrating_anthro,0,146779,
submissive,0,146318,
thigh_highs,0,146191,
huge_butt,0,145394,
pink_body,0,144595,
sex_toy,0,144517,
red_hair,0,143907,
trio,0,143787,
chest_tuft,0,143571,
hooves,0,143471,
equine_penis,0,143012,
partially_clothed,0,142509,
bear,5,142050,
dripping,0,141862,
disney,3,140440,
3_toes,0,140372,
