1girl,0,6433667,"1girls,sole_female"
highres,5,5777842,"high_res,high_resolution,hires"
solo,0,5351937,"female_solo,solo_female"
long_hair,0,4686973,"/lh,longhair"
breasts,0,3704368,"/b,boobs,breast,breats,oppai,tits"
looking_at_viewer,0,3599298,"/lav,/pec,pov_eye_contact"
commentary_request,5,3501985,/com
blush,0,3151095,"blushing,flush,flushed"
smile,0,3109960,":),:},smiling"
open_mouth,0,2568303,mouth_open
short_hair,0,2417889,"short-hair,shorthair"
shirt,0,2022106,"shirt_only,shirts"
simple_background,0,1998155,"/sbg,/simplebg"
absurdres,5,1997792,"insaneres,very_high_resolution"
blue_eyes,0,1891122,"blueeyes,light_blue_eyes"
long_sleeves,0,1719636,"long_sleeve,/lsleeves"
large_breasts,0,1698926,"big_breasts,large_boobs,large_breast,large_tits,/lb"
skirt,0,1668000,
blonde_hair,0,1663619,"blond,blonde,/blondeh,blondehair,blond_hair,gold_hair,yellow_hair"
white_background,0,1654166,"/wbg,/whitebg"
multiple_girls,0,1641017,/ngirls
black_hair,0,1632990,"/blackh,black-hair,blackhair,dark_hair"
brown_hair,0,1631576,"/brownh,brown-hair,brownhair,brunette,chocolate_hair"
commentary,5,1560791,commentaries
1boy,0,1538403,"1boys,sole_male"
hair_ornament,0,1534296,"hair_accessories,hair_accessory,hair_decs,hair_ornaments,/hornament"
holding,0,1515440,"hold,holding_object"
gloves,0,1465640,glove
dress,0,1412631,
red_eyes,0,1368889,"red_eye,redeyes"
closed_mouth,0,1312833,
hat,0,1294417,
hair_between_eyes,0,1274452,bangs_between_eyes
animal_ears,0,1269401,"kemonomimi,pokemon_ears"
bow,0,1267718,bows
original,3,1245198,"/o,original_character"
thighhighs,0,1240185,"naked_thighhighs,nude_thighhighs,stocking,stockings,/t,thighhgihs,thighhigh,thigh_highs,thighhighs_only,thighhigs,thighighs"
bad_id,5,1236144,bad_skeb_id
navel,0,1231733,"belly_button,bellybutton"
jewelry,0,1165026,"jewelery,jewellery"
ribbon,0,1158741,ribbons
2girls,0,1098153,"2girl,2_girls"
cleavage,0,1074053,"clevage,overboob"
bare_shoulders,0,1044330,"bare_shoulder,bareshoulders"
jacket,0,1043039,
very_long_hair,0,1037207,"hair_past_waist,/vlh"
sitting,0,1011257,"sit,sitting_down"
standing,0,982439,
bad_pixiv_id,5,967983,
twintails,0,963464,"/tt,twintaiks,twintail,twin_tails"
white_shirt,0,950222,white_blouse
medium_breasts,0,944268,
touhou,3,926562,"/to,toho"
blue_hair,0,924328,"/blueh,bluehair"
green_eyes,0,912432,"green-eyes,greeneyes"
full_body,0,897809,
brown_eyes,0,891242,"browneyes,light_brown_eyes"
nipples,0,882461,nipple
purple_eyes,0,877842,"light_purple_eyes,purpleeyes,violet_eyes"
tail,0,850588,"animal_tail,animal_tails,shippo,tails"
upper_body,0,848813,bust
collarbone,0,846813,"clavicle,clavicles,collarbones"
school_uniform,0,842830,"/s,school_girl,schoolgirl,school_uniforms,seifuku"
underwear,0,834851,"shitagi,undergarments"
male_focus,0,791500,"boys_only,guys_only,male,male_only,man,men"
multicolored_hair,0,775346,multicolor_hair
closed_eyes,0,768561,eyes_closed
white_hair,0,767047,whitehair
pink_hair,0,756605,"magenta_hair,/pinkh,pinkhair"
yellow_eyes,0,753762,"amber_eyes,golden_eyes,golden_eyes,gold_eyes,hazel_eyes,hazeleyes,yelloweyes"
grey_hair,0,752300,gray_hair
ponytail,0,745995,"long_ponytail,pony_tail"
photoshop_(medium),5,707216,
ahoge,0,705865,
purple_hair,0,698467,"lavender_hair,/purpleh,purple-hair,purplehair,violet_hair"
swimsuit,0,697030,"bathing_suit,mizugi,swim_suit,swimsuits"
braid,0,682183,"braided_hair,braids,hair_braid"
panties,0,679683,"/p,pantie,pantsu,panty"
sidelocks,0,675891,"forelocks,payot"
short_sleeves,0,673401,/ssleeves
flower,0,670857,flowers
monochrome,0,669610,"/m,monochome,monochorme,monochromatic"
hair_ribbon,0,642032,"hair_ribbons,/hribbon,ribbon_hair_ornament,ribbon_in_hair,ribbons_in_hair"
heart,0,637900,"<3,hearts"
weapon,0,636531,weapons
ass,0,629061,"butt,butt_cheeks,buttocks,oshiri,rearend"
earrings,0,618350,"aqua_earrings,black_earrings,blue_earrings,brown_earrings,ear_ring,earring,ear_rings,green_earrings,grey_earrings,pink_earrings,purple_earrings,red_earrings,white_earrings,yellow_earrings"
cowboy_shot,0,613515,
thighs,0,610930,thigh
:d,0,592019,
translation_request,5,590995,"/tr,translate_request,translationrequest,translation_requested"
hetero,0,583911,
outdoors,0,582206,"outdoor,outside"
pantyhose,0,579731,"panty_hose,tights"
translated,5,573574,"translatied,translation"
comic,0,573244,"comics,manga"
hair_bow,0,570479,"hairbow,hair_bows"
shoes,0,567346,shoe
sweat,0,566461,sweating
red_hair,0,565024,"/redh,redhair,red_head,redhead"
teeth,0,547178,bared_teeth
frills,0,543122,"frill,frilled,frilly,ruffles"
open_clothes,0,542053,open_clothing
parted_lips,0,538609,
pleated_skirt,0,536681,
english_commentary,5,534035,
greyscale,0,532740,"black_and_white,b&w,grayscale"
bikini,0,529887,
nude,0,529137,naked
small_breasts,0,528902,
boots,0,520662,"boot,naked_boots"
hairband,0,514425,hair_band
multiple_boys,0,509051,/nboys
kantai_collection,3,506941,"kancolle,kankore"
collared_shirt,0,505782,collared_blouse
horns,0,502810,
censored,0,488993,"censor,censoring"
necktie,0,485076,"neck_tie,tie"
black_gloves,0,483628,black_glove
shorts,0,482482,short_pants
lying,0,477827,"laying,laying_down,lying_down"
food,0,477373,
pants,0,476041,"long_pants,slacks,trousers"
alternate_costume,0,472951,"/acos,alternate_outfit,alternate_outfit,alternative_costume"
sky,0,468608,sky_background
wings,0,465983,wing
one_eye_closed,0,465118,wink
sleeveless,0,464522,no_sleeves
detached_sleeves,0,454600,"armsleeves,detached_sleeve,/dsleeves,naked_sleeves"
green_hair,0,450659,"/greenh,greenhair"
virtual_youtuber,0,445148,vtuber
choker,0,444210,
penis,0,440560,"cock,cocks,dick,dicks"
socks,0,429812,"leghighs,naked_socks,sock"
