1girl,0,6447799,"1girls,sole_female"
highres,5,5794846,"high_res,high_resolution,hires"
solo,0,5364303,"female_solo,solo_female"
long_hair,0,4697982,"/lh,longhair"
breasts,0,3713670,"/b,boobs,breast,breats,oppai,tits"
looking_at_viewer,0,3608761,"/lav,/pec,pov_eye_contact"
blush,0,3157719,"blushing,flush,flushed"
smile,0,3117282,":),:},smiling"
open_mouth,0,2574519,mouth_open
short_hair,0,2423206,"short-hair,shorthair"
shirt,0,2028551,"shirt_only,shirts"
absurdres,5,2005110,"insaneres,very_high_resolution"
simple_background,0,2003968,"/sbg,/simplebg"
blue_eyes,0,1895495,"blueeyes,light_blue_eyes"
long_sleeves,0,1724135,"long_sleeve,/lsleeves"
large_breasts,0,1703037,"big_breasts,large_boobs,large_breast,large_tits,/lb"
skirt,0,1671413,
blonde_hair,0,1667451,"blond,blonde,/blondeh,blondehair,blond_hair,gold_hair,yellow_hair"
white_background,0,1659214,"/wbg,/whitebg"
multiple_girls,0,1644442,/ngirls
black_hair,0,1637161,"/blackh,black-hair,blackhair,dark_hair"
brown_hair,0,1634730,"/brownh,brown-hair,brownhair,brunette,chocolate_hair"
1boy,0,1542788,"1boys,sole_male"
hair_ornament,0,1537582,"hair_accessories,hair_accessory,hair_decs,hair_ornaments,/hornament"
holding,0,1520173,"hold,holding_object"
gloves,0,1469123,glove
dress,0,1416332,
red_eyes,0,1371839,"red_eye,redeyes"
closed_mouth,0,1317343,
hat,0,1297484,
hair_between_eyes,0,1277755,bangs_between_eyes
animal_ears,0,1272590,"kemonomimi,pokemon_ears"
bow,0,1270392,bows
original,3,1247487,"/o,original_character"
thighhighs,0,1242299,"naked_thighhighs,nude_thighhighs,stocking,stockings,/t,thighhgihs,thighhigh,thigh_highs,thighhighs_only,thighhigs,thighighs"
navel,0,1235074,"belly_button,bellybutton"
jewelry,0,1168248,"jewelery,jewellery"
ribbon,0,1160798,ribbons
2girls,0,1100715,"2girl,2_girls"
cleavage,0,1076563,"clevage,overboob"
bare_shoulders,0,1046649,"bare_shoulder,bareshoulders"
jacket,0,1046390,
very_long_hair,0,1039794,"hair_past_waist,/vlh"
sitting,0,1013577,"sit,sitting_down"
standing,0,984742,
twintails,0,965564,"/tt,twintaiks,twintail,twin_tails"
white_shirt,0,953403,white_blouse
medium_breasts,0,946270,
touhou,3,927454,"/to,toho"
blue_hair,0,926627,"/blueh,bluehair"
green_eyes,0,914723,"green-eyes,greeneyes"
full_body,0,900065,
brown_eyes,0,892516,"browneyes,light_brown_eyes"
nipples,0,884663,nipple
purple_eyes,0,880188,"light_purple_eyes,purpleeyes,violet_eyes"
tail,0,855272,"animal_tail,animal_tails,shippo,tails"
upper_body,0,851349,bust
collarbone,0,848742,"clavicle,clavicles,collarbones"
